,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
3485,030790,KOSPI,비케이탑스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합소프트웨어 개발, 전자상거래",2010-11-02,12월,정상용,http://www.bktops.co.kr,서울특별시
3486,032850,KOSDAQ,비트컴퓨터,소프트웨어 개발 및 공급업,의료정보시스템,1997-07-04,12월,"전 진 옥, 조 현 정",http://www.bit.co.kr,서울특별시
3487,148780,KONEX,비플라이소프트,소프트웨어 개발 및 공급업,"아이서퍼, 위고몬, 로제우스, 디지타이징 등",2016-11-16,12월,임경환,http://www.bflysoft.co.kr,서울특별시
3488,238200,KOSDAQ,비피도,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,2018-12-26,12월,지근억,http://bifido.com,강원도
3489,093190,KOSDAQ,빅솔론,컴퓨터 및 주변장치 제조업,"POS용프린터,프린팅메카니즘",2007-08-20,12월,"노현철,김장환 각자대표",http://www.bixolon.com,경기도
3490,065450,KOSDAQ,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자전시스템 장치류,2003-02-05,12월,임만규,http://www.victek.co.kr,경기도
3491,210120,KONEX,빅텐츠,"영화, 비디오물, 방송프로그램 제작 및 배급업","드라마, OST",2014-12-16,12월,조윤정,http://www.victents.com,서울특별시
3492,005180,KOSPI,빙그레,낙농제품 및 식용빙과류 제조업,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",1978-08-31,12월,전창원,http://www.bing.co.kr,경기도
3493,072950,KOSDAQ,빛샘전자,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체",2012-03-21,12월,"강만준, 강명구 (각자대표)",http://www.vissem.com,경기도
3494,266170,KONEX,뿌리깊은나무들,"영화, 비디오물, 방송프로그램 제작 및 배급업",TV 드라마 등,2017-06-09,12월,이재원,http://www.redwoods.co.kr,서울특별시
3495,143240,KOSDAQ,사람인에이치알,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","온라인 채용광고(취업포털), 인재파견, 취업지원 등",2012-02-21,12월,김용환,http://www.saramin.co.kr,서울특별시
3496,003960,KOSPI,사조대림,수산물 가공 및 저장 처리업,"게맛살,어육연제품,식용류,배합사료 제조",1976-09-16,12월,김상훈,http://dr.sajo.co.kr,서울특별시
3497,008040,KOSPI,사조동아원,"곡물가공품, 전분 및 전분제품 제조업","제분, 배합사료 제조",1989-06-24,12월,"이인우, 노동환",http://www.dongaone.com,서울특별시
3498,007160,KOSPI,사조산업,어로 어업,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매",1989-07-25,12월,"이창주, 김치곤 (각자대표)",http://www.sajo.co.kr,서울특별시
3499,014710,KOSPI,사조씨푸드,수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,2012-06-29,12월,최세환,http://www.sajosf.co.kr,서울특별시
3500,006090,KOSPI,사조오양,수산물 가공 및 저장 처리업,"원양어업/수산물가공(게맛살) 제조,수출입/냉동 및 냉장보관/부동산 임대",1986-12-24,12월,정태식,http://www.sajooy.com,서울특별시
3501,100090,KOSDAQ,삼강엠앤티,1차 철강 제조업,"후육강관제조업,조선블록제조업",2008-08-01,12월,송무석,http://www.sam-kang.com/,경상남도
3502,122350,KOSDAQ,삼기,자동차 신품 부품 제조업,자동차부품,2010-03-19,12월,김치환,http://www.samkee.com,경기도
3503,014970,KOSDAQ,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업",카톤팩,1992-12-29,12월,조홍로,http://www.srpack.com,경기도
3504,018310,KOSDAQ,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업","유로폼,갱폼,알루미늄폼,특수폼,유리온실사업",1996-05-03,12월,엄석호,http://www.sammok.co.kr,경기도
3505,053700,KOSDAQ,삼보모터스,자동차 신품 부품 제조업,증명서 자동발급기,2001-11-06,12월,이재하,http://www.sambomotos.co.kr,대구광역시
3506,009620,KOSDAQ,삼보산업,1차 비철금속 제조업,알미늄괴,1993-12-07,12월,"이태용,김태환",http://www.samboind.com,경상남도
3507,023600,KOSDAQ,삼보판지,"펄프, 종이 및 판지 제조업","골판지,골판지상자",1996-05-29,12월,류진호,http://www.isambo.com,경기도
3508,001470,KOSPI,삼부토건,토목 건설업,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조",1976-06-26,12월,"이응근,이계연",http://www.sambu.co.kr,서울특별시
3509,530033,KOSPI,삼성 Alerian 에너지인프라 MLP ETN,,,,,,,
3510,530014,KOSPI,삼성 China A50 선물 ETN(H),,,,,,,
3511,530032,KOSPI,삼성 Cushing 에너지인프라 MLP ETN,,,,,,,
3512,530073,KOSPI,삼성 HSCEI ETN(H),,,,,,,
3513,530067,KOSPI,삼성 KRX 금현물 ETN,,,,,,,
3514,530013,KOSPI,삼성 KTOP30 ETN,,,,,,,
3515,530072,KOSPI,삼성 S&P500 VIX S/T 선물 ETN(H) C,,,,,,,
3516,530023,KOSPI,삼성 레버리지 China A50 선물 ETN(H),,,,,,,
3517,530075,KOSPI,삼성 레버리지 HSCEI ETN(H),,,,,,,
3518,530031,KOSPI,삼성 레버리지 WTI원유 선물 ETN,,,,,,,
3519,530063,KOSPI,삼성 레버리지 구리 선물 ETN(H),,,,,,,
3520,530055,KOSPI,삼성 레버리지 금 선물 ETN(H),,,,,,,
3521,530070,KOSPI,삼성 레버리지 나스닥 100 ETN(H),,,,,,,
3522,530061,KOSPI,삼성 레버리지 은 선물 ETN(H),,,,,,,
3523,530068,KOSPI,삼성 레버리지 천연가스 선물 ETN B,,,,,,,
3524,530020,KOSPI,삼성 미국 대형 가치주 ETN,,,,,,,
3525,530016,KOSPI,삼성 미국 대형 가치주 ETN(H),,,,,,,
3526,530019,KOSPI,삼성 미국 대형 성장주 ETN,,,,,,,
3527,530015,KOSPI,삼성 미국 대형 성장주 ETN(H),,,,,,,
3528,530076,KOSPI,삼성 인버스 2X HSCEI ETN(H),,,,,,,
3529,530036,KOSPI,삼성 인버스 2X WTI원유 선물 ETN,,,,,,,
3530,530064,KOSPI,삼성 인버스 2X 구리 선물 ETN(H),,,,,,,
3531,530056,KOSPI,삼성 인버스 2X 금 선물 ETN(H),,,,,,,
3532,530071,KOSPI,삼성 인버스 2X 나스닥 100 ETN(H),,,,,,,
3533,530062,KOSPI,삼성 인버스 2X 은 선물 ETN(H),,,,,,,
3534,530069,KOSPI,삼성 인버스 2X 천연가스 선물 ETN B,,,,,,,
3535,530002,KOSPI,삼성 인버스 China A50 선물 ETN(H),,,,,,,
3536,530074,KOSPI,삼성 인버스 HSCEI ETN(H),,,,,,,
3537,530060,KOSPI,삼성 코스피 양매도 5% OTM ETN,,,,,,,
3538,530066,KOSPI,삼성 코스피 풋매도 4% OTM ETN,,,,,,,
3539,530053,KOSPI,삼성 코스피 풋매도 ETN,,,,,,,
3540,530004,KOSPI,삼성 화장품 테마주 ETN,,,,,,,
3541,006400,KOSPI,삼성SDI,일차전지 및 축전지 제조업,"2차전지, 전자재료 제조 판매",1979-02-27,12월,전영현,http://www.samsungsdi.co.kr,경기도
3542,006405,KOSPI,삼성SDI우,,,,,,,
3543,006660,KOSPI,삼성공조,자동차 신품 부품 제조업,"자동차부품(라디에터,오일쿨러,인터쿨러) 제조,판매",1987-11-28,12월,고호곤,http://www.samsungcc.co.kr,경상남도
3544,028260,KOSPI,삼성물산,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",2014-12-18,12월,"고정석, 오세철, 한승환",http://www.samsungcnt.com,서울특별시
3545,02826K,KOSPI,삼성물산우B,,,,,,,
3546,207940,KOSPI,삼성바이오로직스,기초 의약물질 및 생물학적 제제 제조업,바이오의약품,2016-11-10,12월,임존종보 (Rim John Chongbo),http://www.samsungbiologics.com,인천광역시
3547,032830,KOSPI,삼성생명,보험업,"생명보험,부동산 임대",2010-05-12,12월,전영묵,http://www.samsunglife.com,서울특별시
3548,291230,KOSDAQ,삼성스팩2호,금융 지원 서비스업,기업인수합병,2018-09-13,12월,임동현,,서울특별시
3549,018260,KOSPI,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",2014-11-14,12월,황성우,http://www.samsungsds.com,서울특별시
3550,028050,KOSPI,삼성엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","산업설비,건물,구축물,토목시설의 설계,시공,공사감리",1996-12-24,12월,최성안,http://www.samsungengineering.co.kr,서울특별시
3551,009150,KOSPI,삼성전기,전자부품 제조업,"영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일",1979-02-27,12월,경계현,http://www.sem.samsung.co.kr,경기도
3552,009155,KOSPI,삼성전기우,,,,,,,
3553,005930,KOSPI,삼성전자,통신 및 방송 장비 제조업,"IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계",1975-06-11,12월,"김기남, 김현석, 고동진",http://www.sec.co.kr,경기도
3554,005935,KOSPI,삼성전자우,,,,,,,
3555,001360,KOSPI,삼성제약,의약품 제조업,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",1975-07-04,12월,"김상재, 김기호 각자대표",http://www.sspharm.co.kr,경기도
3556,010140,KOSPI,삼성중공업,선박 및 보트 건조업,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업",1994-01-28,12월,정진택,http://www.samsungshi.com,경기도
3557,010145,KOSPI,삼성중공우,,,,,,,
3558,016360,KOSPI,삼성증권,금융 지원 서비스업,"유가증권의 매매,위탁매매,인수주선",1988-03-28,12월,장석훈,http://www.samsungpop.com,서울특별시
3559,068290,KOSPI,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대",2002-08-05,12월,김진용,http://www.samsungbooks.com,서울특별시
3560,029780,KOSPI,삼성카드,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",2007-06-27,12월,김대환,http://www.samsungcard.co.kr,서울특별시
3561,000810,KOSPI,삼성화재,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",1975-06-30,12월,최영무,http://www.samsungfire.com,서울특별시
3562,000815,KOSPI,삼성화재우,,,,,,,
3563,006110,KOSPI,삼아알미늄,1차 비철금속 제조업,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출",1980-12-05,12월,"한남희,하상용",http://www.sama-al.com,경기도
3564,009300,KOSDAQ,삼아제약,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘",2000-07-19,12월,"허 준, 허미애 (각자 대표이사)",http://www.samapharm.co.kr,강원도
3565,145990,KOSPI,삼양사,기타 식품 제조업,설탕,2011-12-05,12월,"송자량, 강호성",http://www.samyangcorp.com,서울특별시
3566,145995,KOSPI,삼양사우,,,,,,,
3567,003230,KOSPI,삼양식품,기타 식품 제조업,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",1975-06-30,12월,"정태운, 진종기",http://www.samyangfood.co.kr,서울특별시
3568,225190,KOSDAQ,삼양옵틱스,사진장비 및 광학기기 제조업,디지털 카메라용 교환렌즈,2017-06-02,12월,황충현,http://www.syopt.co.kr,경상남도
3569,002170,KOSPI,삼양통상,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",1989-11-10,12월,허남각,http://www.samyangts.com,서울특별시
3570,272550,KOSPI,삼양패키징,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM,2017-11-29,12월,조덕희,http://www.samyangpackaging.co.kr/,서울특별시
3571,000070,KOSPI,삼양홀딩스,기타 금융업,"지주회사,경영자문컨설팅",1968-12-27,12월,"엄태웅, 윤재엽",http://www.samyang.com,서울특별시
3572,000075,KOSPI,삼양홀딩스우,,,,,,,
3573,002810,KOSPI,삼영무역,기타 전문 도매업,"화공약품, 안경렌즈",1988-03-28,12월,이승용,http://www.samyung.co.kr,서울특별시
3574,054540,KOSDAQ,삼영엠텍,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 특수장치, 교량부품",2001-11-15,12월,강문식,http://www.symtek.co.kr,경상남도
3575,065570,KOSDAQ,삼영이엔씨,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등",2003-01-21,12월,황재우,http://www.samyungenc.com,부산광역시
3576,005680,KOSPI,삼영전자,전자부품 제조업,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매",1976-12-28,12월,"변동준, 김성수(각자 대표이사)",http://www.samyoung.co.kr,경기도
3577,003720,KOSPI,삼영화학,플라스틱제품 제조업,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조",1976-06-30,12월,이석준,http://www.sycc.co.kr,서울특별시
3578,023000,KOSPI,삼원강재,자동차 신품 부품 제조업,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매",2011-07-22,12월,"허재철, 장범석 (각자대표)",http://www.samwon-steel.co.kr,경상북도
3579,004380,KOSPI,삼익THK,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",1989-09-26,12월,"진영환, 전영배",http://www.samickthk.co.kr,대구광역시
3580,002450,KOSPI,삼익악기,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",1988-09-30,12월,"김종섭, 이형국",http://www.samick.co.kr,충청북도
3581,032280,KOSDAQ,삼일,도로 화물 운송업,운송및하역수입,1997-03-15,12월,"이정식, 안인수(각자대표)",http://www.samil31.co.kr,경상북도
3582,002290,KOSDAQ,삼일기업공사,건물 건설업,도급공사,1992-11-30,12월,박종웅,http://www.samilenter.com,서울특별시
3583,004440,KOSPI,삼일씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작",2016-03-30,12월,정용근,http://www.daelimcns.co.kr,서울특별시
3584,000520,KOSPI,삼일제약,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",1985-05-29,12월,"허승범, 김상진 (각자 대표이사)",http://www.samil-pharm.com,서울특별시
3585,009770,KOSPI,삼정펄프,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",2006-10-17,12월,전성오,http://www.sjpulp.com,경기도
3586,037460,KOSDAQ,삼지전자,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업",1999-12-16,12월,"박두진, 주동익",http://www.samjielec.co.kr,경기도
3587,032750,KOSDAQ,삼진,통신 및 방송 장비 제조업,리모트컨트롤러,1997-07-14,12월,김승철,http://www.samjin.com,경기도
3588,054090,KOSDAQ,삼진엘앤디,그외 기타 제품 제조업,"몰드프레임, TFT-LCD BLU",2004-02-06,12월,"이경재,이명종",http://samjin.co.kr,경기도
3589,005500,KOSPI,삼진제약,의약품 제조업,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",1988-06-18,12월,"장홍순, 최용주",http://www.samjinpharm.co.kr,서울특별시
3590,000250,KOSDAQ,삼천당제약,의약품 제조업,"세프메타졸, 파클캅셀, 네틸마이신",2000-10-04,12월,"윤대인, 전인석(각자 대표이사)",http://www.scd.co.kr,경기도
3591,004690,KOSPI,삼천리,연료용 가스 제조 및 배관공급업,도시가스 공급/부동산 임대,1976-12-23,12월,"이찬의, 유재권",http://www.samchully.co.kr,서울특별시
3592,024950,KOSDAQ,삼천리자전거,생활용품 도매업,자전거,1995-01-04,12월,신동호,http://www.samchuly.co.kr,서울특별시
3593,038500,KOSDAQ,삼표시멘트,기타 비금속 광물제품 제조업,"시스템통합(SI), 네트워크장비",2001-02-01,12월,이종석,http://www.tycement.co.kr,강원도
3594,017480,KOSDAQ,삼현철강,1차 철강 제조업,"후판,열연후판,산세판박,무늬강판,용단철강,형강외",2001-01-09,12월,조 윤 선,http://www.samsteel.co.kr,경상남도
3595,010960,KOSPI,삼호개발,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",2005-05-12,12월,심재범,http://www.samhodev.co.kr/,충청남도
3596,046390,KOSDAQ,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)",2001-01-11,12월,"공동대표이사 안제현, 신상윤",http://www.shnetworks.co.kr,서울특별시
3597,004450,KOSPI,삼화왕관,기타 금속 가공제품 제조업,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출",1976-05-28,12월,고기영,http://www.samhwa.co.kr,경기도
3598,009470,KOSPI,삼화전기,전자부품 제조업,"콘덴서 제조,판매",1986-11-24,12월,"오영주, 박종온",http://www.samwha.co.kr,충청북도
3599,011230,KOSPI,삼화전자,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",1987-05-25,12월,"오영주, 이건화",http://www.samwha.co.kr,경기도
3600,001820,KOSPI,삼화콘덴서,전자부품 제조업,콘덴서(축전기) 제조,1976-06-26,12월,"오영주, 박진",http://www.samwha.com,경기도
3601,000390,KOSPI,삼화페인트,기타 화학제품 제조업,"건축용페인트,공업용페인트,분체도료 등 제조",1993-09-10,12월,"오진수,류기붕(각자대표)",http://www.samhwa.com,경기도
3602,027580,KOSDAQ,상보,플라스틱제품 제조업,"광학필름,윈도우필름,미디어필름",2007-10-01,12월,김상근,http://www.sangbogroup.com,경기도
3603,02758217,KOSDAQ,상보 2WR,,,,,,,
3604,038540,KOSDAQ,상상인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",전자계전기(RELAY),2000-08-18,12월,"유준원, 이민식(각자 대표이사)",http://www.texcell-netcom.co.kr,경기도
3605,307870,KOSDAQ,상상인이안1호스팩,금융 지원 서비스업,기업인수합병,2018-12-12,12월,이지연,,서울특별시
3606,329560,KOSDAQ,상상인이안제2호스팩,금융 지원 서비스업,기업인수합병,2019-08-30,12월,김기동,,서울특별시
