Date,Open,High,Low,Close,Volume,Change
2021-04-22,10170,10170,10170,10170,101,
2021-04-23,10060,10090,10050,10050,6406,-0.01179941002949858
2021-04-26,10230,10255,10230,10255,4090,0.020398009950248763
2021-04-27,10310,10310,10310,10310,5,0.005363237445148661
2021-04-28,10320,10320,10320,10320,100,0.0009699321047527132
2021-04-29,10400,10400,10390,10390,1956,0.006782945736434121
2021-04-30,10375,10375,10335,10335,301,-0.005293551491819093
2021-05-03,10330,10330,10330,10330,0,-0.0004837929366231508
2021-05-04,10280,10290,10255,10290,355,-0.0038722168441432947
2021-05-06,10200,10220,10170,10215,572,-0.007288629737609353
2021-05-07,10405,10405,10380,10380,867,0.01615271659324513
