Date,Open,High,Low,Close,Volume,Change
2020-01-16,49096,49448,49036,49132,13348,
2020-01-17,49311,49674,48948,49000,6601,-0.0026866400716437644
2020-01-20,48697,48794,48628,48788,134,-0.004326530612244861
2020-01-21,48707,49277,48707,49279,8,0.010063950151676604
2020-01-22,49002,49002,48923,48926,3,-0.0071632947097141075
2020-01-23,49006,49139,49006,49098,6,0.0035155132240527465
2020-01-28,49842,49842,49674,49745,116,0.01317772618029256
2020-01-29,49483,49818,49483,49819,14,0.0014875866921297831
2020-01-30,49979,50205,49979,50207,23,0.007788193259599785
2020-01-31,49954,49999,49866,50000,88,-0.004122931065389301
2020-02-03,50303,50303,50115,50119,208,0.0023800000000000487
2020-02-04,49919,49919,49502,49594,309,-0.010475069334982767
2020-02-05,49434,49783,49434,49707,193,0.002278501431624891
2020-02-06,49597,49713,49478,49481,8,-0.00454664332991328
2020-02-07,49689,49861,49689,49819,394,0.0068309047917383126
2020-02-10,49899,49974,49698,49804,100,-0.00030108994560307245
2020-02-11,49876,49876,49718,49722,134,-0.0016464541000722477
2020-02-12,49783,49783,49694,49697,337,-0.0005027955432203024
2020-02-13,49783,49783,49728,49736,42,0.0007847556190514471
2020-02-14,49684,49708,49341,49373,242,-0.007298536271513556
2020-02-17,49316,49674,49316,49677,359,0.006157211431349063
2020-02-18,49659,50155,49659,50158,283,0.009682549268273055
2020-02-19,50024,50376,49783,50114,3906,-0.0008772279596475085
2020-02-20,50210,50509,50210,50433,241,0.006365486690345978
2020-02-21,50445,50946,50426,50949,214,0.010231396109690039
2020-02-24,51236,51378,51172,51179,1470,0.0045143182398084125
2020-02-25,51328,51328,50971,51233,1052,0.0010551202641708723
2020-02-26,51338,51520,51289,51453,606,0.004294107313645545
2020-02-27,51348,51383,50941,50945,928,-0.009873088060948776
2020-02-28,51031,51681,51031,51685,1165,0.014525468642653916
2020-03-02,52198,52295,51423,51453,1177,-0.004488729805552816
2020-03-03,51092,51423,51092,51424,614,-0.0005636211688336834
2020-03-04,51968,51997,51805,51807,2318,0.007447884256378323
2020-03-05,51476,51686,51428,51473,1677,-0.006447005230953318
2020-03-06,51768,51916,51388,51390,12761,-0.0016124958716220439
2020-03-09,52000,52315,51668,52116,863,0.014127262113251549
2020-03-10,52058,52077,51773,51858,585,-0.004950495049504955
2020-03-11,51663,51951,51274,51637,807,-0.004261637548690689
2020-03-12,51200,51487,51166,51390,540,-0.004783391753974908
2020-03-13,50717,50717,49287,49880,6646,-0.02938314847246548
2020-03-16,50072,50949,50037,50537,6316,0.013171611868484367
2020-03-17,50293,50667,50134,50610,176,0.0014444862180185147
2020-03-18,50653,51034,50653,50734,762,0.0024501086741750555
2020-03-19,50219,50219,48646,49041,977,-0.03337012654235816
2020-03-20,49770,49840,49371,49841,71,0.016312881058705875
2020-03-23,48941,48941,48468,48534,165,-0.02622339038141286
2020-03-24,48833,49110,48833,48854,69,0.00659331602587887
2020-03-25,48843,49119,48843,48948,54,0.0019241003807262125
2020-03-26,48956,49745,48956,49590,133,0.0131159597940671
2020-03-27,50560,50560,50164,50349,124,0.015305505142165776
2020-03-30,49879,49892,49538,49540,48,-0.016067846431905286
2020-03-31,49110,49588,49080,49426,6290,-0.002301170771094041
2020-04-01,49613,49740,49444,49446,236,0.0004046453283697016
2020-04-02,49568,49750,49523,49752,271,0.00618856934838008
2020-04-03,49637,49637,49341,49343,25,-0.008220775044219364
2020-04-06,49533,49785,49247,49683,115,0.006890541718176824
2020-04-07,49548,49666,49395,49398,400,-0.005736368576776729
2020-04-08,49661,49760,49523,49762,21,0.0073687193813514185
2020-04-09,49962,50598,49845,50600,30,0.016840159157590184
2020-04-10,50421,50648,50406,50423,295,-0.0034980237154149663
2020-04-13,50485,50545,50416,50433,176,0.00019832219423676634
2020-04-14,50332,50366,50224,50369,728,-0.0012690103701941124
2020-04-16,50520,50781,50436,50783,639,0.008219341261490154
2020-04-17,50219,50322,50077,50295,123,-0.009609514995175594
2020-04-20,50249,50466,50249,50467,140,0.0034198230440400934
2020-04-21,50401,50401,49745,50112,31,-0.007034299641349828
2020-04-22,50052,50077,49523,49560,335,-0.011015325670498122
2020-04-23,49543,49830,49543,49683,271,0.0024818401937045653
2020-04-24,49686,49686,49484,49535,466,-0.0029788861381156995
2020-04-27,49454,49464,49346,49348,176,-0.0037751085091349834
2020-04-28,49341,49371,49172,49239,166,-0.00220880278836022
2020-04-29,49508,49696,49410,49668,125,0.008712605861207479
2020-05-04,49780,50057,49646,49871,1376,0.004087138600306073
2020-05-06,49696,49785,49696,49738,175,-0.002666880551823736
2020-05-07,49820,49982,49820,49890,362,0.0030560135107966513
2020-05-08,50149,50396,50139,50398,520,0.010182401282822218
2020-05-11,50416,50416,50327,50330,67,-0.001349259891265553
2020-05-12,50381,50672,50381,50595,45,0.0052652493542619805
2020-05-13,50752,50959,50752,50822,91,0.004486609348749893
2020-05-14,51029,51081,50811,50817,145,-9.838259021688334e-05
2020-05-15,50840,51014,50840,50999,235,0.003581478639038016
2020-05-18,50879,50879,50850,50852,6,-0.002882409459008972
2020-05-19,50638,50904,50638,50847,326,-9.83245496735119e-05
2020-05-20,50830,51039,50816,51004,25,0.003087694455916834
2020-05-21,51057,51176,50984,51163,173,0.003117402556662263
2020-05-22,51161,51457,50949,51054,228,-0.002130445829994332
2020-05-25,51039,51403,51009,51405,21647,0.006875073451639402
2020-05-26,51279,51482,51101,51139,726,-0.005174593911098091
2020-05-27,51249,51284,51186,51187,399,0.000938618275680092
2020-05-28,51408,51783,51081,51237,124,0.0009768105182956788
2020-05-29,51106,51393,50924,50975,285,-0.005113492202900249
2020-06-01,50924,50924,50727,50778,537,-0.0038646395291809243
2020-06-02,50525,50618,50396,50551,1790,-0.004470439954310956
2020-06-03,50555,50628,50174,50216,221,-0.0066269707819826
2020-06-04,50555,50653,50376,50413,154,0.00392305241357338
2020-06-05,50288,50386,50278,50320,110,-0.0018447622637017824
2020-06-08,50164,50576,50164,50344,415,0.0004769475357710995
2020-06-09,50472,50803,50472,50804,123,0.009137136500873888
2020-06-10,50798,50798,50604,50666,99,-0.002716321549484313
2020-06-11,51046,51050,50803,50804,641,0.002723720048948053
2020-06-12,50876,50881,50728,50730,246,-0.0014565782221872547
2020-06-15,50649,50748,50556,50557,141,-0.0034102109205598197
2020-06-16,50367,50437,50283,50403,403,-0.0030460668156734316
2020-06-17,50556,50576,50323,50512,242,0.002162569688312299
2020-06-18,50768,50768,50768,50769,32,0.005087899904973048
2020-06-19,50698,50773,50649,50769,72,0.0
2020-06-22,50511,50511,50333,50418,188,-0.006913667789399058
2020-06-23,50506,50571,50442,50458,209,0.0007933674481335196
2020-06-24,50556,50743,50526,50651,1637,0.0038249633358435897
2020-06-25,50688,50738,50599,50740,176,0.0017571222680696774
2020-06-26,50723,50891,50654,50809,82,0.0013598738667717214
2020-06-29,50783,50842,50584,50586,385,-0.004388986203231693
2020-06-30,50496,50566,50437,50448,136,-0.002728027517495013
2020-07-01,50472,50521,50139,50142,588,-0.00606565176022833
2020-07-02,50427,50599,50427,50522,1031,0.007578477124965177
2020-07-03,50571,50571,50422,50423,26,-0.0019595423775781162
2020-07-06,50422,50422,50164,50265,402,-0.0031334906689407527
2020-07-07,50496,50496,50397,50413,62,0.0029443947080474153
2020-07-08,50467,50654,50467,50656,149,0.004820185269672539
2020-07-09,50624,50624,50491,50492,216,-0.003237523689197719
2020-07-10,50501,50639,50486,50487,282,-9.902558821195395e-05
2020-07-13,50372,50382,50254,50335,814,-0.003010676015608005
2020-07-14,50407,50531,50323,50325,167,-0.00019866891824771304
2020-07-15,50323,50333,50209,50250,253,-0.0014903129657227732
2020-07-16,50259,50614,50259,50596,298,0.00688557213930352
2020-07-17,50580,50728,50580,50696,1450,0.001976440825361747
2020-07-20,50664,50803,50654,50750,80,0.0010651727946977552
2020-07-21,50803,50981,50743,50750,762,0.0
2020-07-22,50753,50753,50668,50745,176,-9.852216748773568e-05
2020-07-23,50931,51026,50823,51011,127,0.005241895753276271
2020-07-24,51093,51183,51083,51106,198,0.001862343416126011
2020-07-27,51178,51316,51103,51185,158,0.0015458067545885967
2020-07-28,51306,51306,51016,51096,470,-0.0017387906613265391
2020-07-29,51331,51331,51198,51204,22,0.0021136683889149133
2020-07-30,51331,51441,51272,51412,471,0.004062182641981105
2020-07-31,51421,51505,51243,51244,1138,-0.003267719598537333
2020-08-03,51262,51306,51183,51189,572,-0.0010732963859183542
2020-08-04,51064,51133,50981,51076,6358,-0.002207505518763808
2020-08-05,51103,52009,51103,51160,22255,0.0016446080350849268
2020-08-06,51041,51083,50961,51016,798,-0.0028146989835808878
2020-08-07,51026,51083,50961,50961,517,-0.0010780931472479383
2020-08-10,50842,50847,50668,50676,1313,-0.005592511920880727
2020-08-11,50748,50798,50609,50799,869,0.0024271844660195274
2020-08-12,50664,50664,50561,50611,881,-0.0037008602531546364
2020-08-13,50788,50827,50773,50774,68,0.0032206437335757787
2020-08-14,50594,50594,50447,50448,30,-0.006420608973096487
2020-08-18,50576,50896,50576,50898,1885,0.008920076117982845
2020-08-19,50911,50911,50703,50913,454,0.0002947070611811764
2020-08-20,50703,50728,50609,50646,85,-0.00524424017441516
2020-08-21,50629,50649,50338,50340,255,-0.0060419381589859045
2020-08-24,50486,50698,50467,50681,718,0.006773937226857374
2020-08-25,50654,50654,50491,50512,257,-0.0033345829798149262
2020-08-26,50387,50437,50224,50320,381,-0.003801076971808648
2020-08-27,50580,50683,50174,50235,240,-0.0016891891891891442
2020-08-28,50091,50091,49744,49746,213,-0.009734249029561104
2020-08-31,49962,49962,49592,49722,608,-0.00048245085031961565
2020-09-01,49636,49714,49175,49188,581,-0.010739712803185752
2020-09-02,49443,49650,49195,49612,743,0.008619988615109486
2020-09-03,49488,49612,49408,49612,120,0.0
2020-09-04,49650,49650,49463,49637,632,0.000503910344271441
2020-09-07,49205,49423,49205,49381,177,-0.005157443036444609
2020-09-08,49593,49801,49558,49658,1718,0.00560944492821136
2020-09-09,50143,50143,49905,49971,121,0.006303113294937379
2020-09-10,49965,50109,49945,49951,84,-0.00040023213463813434
2020-09-11,49935,49965,49876,49876,17,-0.0015014714420131803
2020-09-14,49776,49890,49687,49891,806,0.0003007458497072957
2020-09-15,49826,49890,49801,49891,586,0.0
2020-09-16,49980,50089,49980,50085,295,0.00388847687959748
2020-09-17,50080,50094,49975,49976,55,-0.002176300289507882
2020-09-18,49975,50188,49975,50060,139,0.0016808067872577936
2020-09-21,49990,50138,49990,50090,271,0.0005992808629644575
2020-09-22,50188,50188,50153,50155,590,0.001297664204432003
2020-09-23,50218,50432,50218,50397,1242,0.0048250423686571065
2020-09-24,50387,50402,50173,50402,1264,9.921225469766703e-05
2020-09-25,50332,50427,50278,50427,19,0.0004960120630133069
2020-09-28,50432,50610,50432,50502,56,0.001487298471057219
2020-09-29,50462,50590,50422,50492,567,-0.00019801195992241727
2020-10-05,50452,50452,50183,50184,545,-0.006099976233858828
2020-10-06,49930,49945,49638,49738,88,-0.008887294755300479
2020-10-07,49826,49846,49696,49698,329,-0.0008042140817885457
2020-10-08,49736,49736,49588,49698,358,0.0
2020-10-12,49781,49781,49638,49678,677,-0.0004024306813151801
2020-10-13,49866,49886,49831,49847,495,0.0034019082893836927
2020-10-14,50183,50213,50099,50125,143,0.005577065821413596
2020-10-15,50163,50372,50163,50373,141,0.004947630922693236
2020-10-16,50070,50070,50025,50070,206,-0.006015127151450139
2020-10-19,49836,50387,49776,50387,60,0.0063311364090272715
2020-10-20,50407,50427,50153,50219,215,-0.0033341933435211413
2020-10-21,50070,50070,49821,49842,44,-0.007507118819570335
2020-10-22,50045,50055,50035,50035,73,0.00387223626660238
2020-10-23,49766,50163,49766,50145,94,0.0021984610772458613
2020-10-26,50163,50203,50075,50125,257,-0.00039884335427264883
2020-10-27,50070,50123,49871,49906,32,-0.004369077306733193
2020-10-28,50109,50123,49990,50015,622,0.002184106119504703
2020-10-29,49915,49945,49861,49862,122,-0.0030590822753173708
2020-10-30,49886,49886,49682,49758,45,-0.0020857566884601164
2020-11-02,49260,49662,47820,49424,364,-0.006712488444069242
2020-11-03,49499,49633,49474,49474,379,0.0010116542570410836
2020-11-04,49126,49716,49126,49663,129,0.003820188381776335
2020-11-05,49856,49930,49851,49931,104,0.005396371544208023
2020-11-06,49652,49657,49494,49494,510,-0.008752077867457131
2020-11-09,49444,49588,49324,49589,219,0.0019194245767164553
2020-11-10,49151,49175,49037,49172,530,-0.008409122990985951
2020-11-11,49166,49185,48952,48968,361,-0.004148702513625646
2020-11-12,49121,49240,49121,49132,102,0.003349125959810406
2020-11-13,49210,49210,49112,49147,85,0.0003053000081414403
2020-11-16,49097,49250,49077,49231,408,0.0017091582395669658
2020-11-17,49175,49220,49092,49177,627,-0.0010968698584225
2020-11-18,49364,49369,49364,49371,42,0.003944933607174184
2020-11-19,49374,49399,49354,49401,97,0.0006076441635778362
2020-11-20,49479,49479,49379,49439,3134,0.0007692151980729367
2020-11-23,49523,49716,49474,49658,978,0.004429701248002571
2020-11-24,49538,49538,49319,49434,406,-0.004510854243022222
2020-11-25,49379,49379,49097,49152,431,-0.00570457579803374
2020-11-26,49240,49290,49082,49162,90,0.00020345052083325932
2020-11-27,49295,49324,49235,49236,38,0.0015052276148244115
2020-11-30,49329,49394,49170,49192,324,-0.0008936550491510653
2020-12-01,49171,49339,49171,49236,178,0.0008944543828264262
2020-12-02,49092,49092,48918,48953,2207,-0.005747826793403243
2020-12-03,49027,49057,48977,49022,81,0.0014095152493207586
2020-12-04,49240,49240,49141,49147,594,0.002549875566072446
2020-12-07,48922,49200,48922,49172,2993,0.0005086780474901076
2020-12-08,48972,49047,48913,49047,167,-0.0025420971284471072
2020-12-09,49072,49072,48903,48983,298,-0.0013048708381756535
2020-12-10,49082,49082,49002,49008,10,0.0005103811526447899
2020-12-11,49022,49067,48982,48983,331,-0.0005101207966046184
2020-12-14,49062,49097,49027,49027,278,0.0008982708286549013
2020-12-15,48903,49017,48873,48958,1136,-0.0014073877659248613
2020-12-16,48962,48962,48748,48749,278,-0.004268965235508015
2020-12-17,48539,48544,48375,48376,415,-0.007651439003876992
2020-12-18,48520,48709,48465,48709,730,0.006883578634033327
2020-12-21,48694,48853,48599,48853,215,0.0029563325052865963
2020-12-22,48704,48878,48564,48809,251,-0.0009006611671750209
2020-12-23,48833,48903,48813,48903,699,0.0019258743264560785
2020-12-24,48738,48798,48679,48679,667,-0.00458049608408484
2020-12-28,48719,48803,48609,48724,1240,0.0009244232625977844
2020-12-29,48798,48798,48525,48659,556,-0.0013340448239060887
2020-12-30,48564,48564,48420,48550,1930,-0.0022400789165416546
2021-01-04,48400,48629,48400,48475,762,-0.001544799176107059
2021-01-05,48569,48803,48500,48804,781,0.006787003610108311
2021-01-06,48669,48753,48380,48421,645,-0.007847717400213061
2021-01-07,48520,48639,48410,48470,84,0.0010119576216931492
2021-01-08,48470,48549,48470,48530,255,0.0012378791004745704
2021-01-11,48674,48848,48674,48814,552,0.005852050278178478
2021-01-12,48694,48694,48554,48620,84,-0.0039742696767320895
2021-01-13,48674,48724,48619,48620,75,0.0
2021-01-14,48694,48694,48475,48525,49,-0.0019539284245166932
2021-01-15,48525,48664,48525,48545,270,0.00041215868109212295
2021-01-18,48544,48724,48544,48674,183,0.002657328252137159
2021-01-19,48629,48649,48569,48649,267,-0.000513621235156303
2021-01-20,48649,48664,48639,48639,184,-0.00020555407099842604
2021-01-21,48559,48584,48539,48565,3169,-0.001521412857994564
2021-01-22,48405,48405,48236,48237,505,-0.006753835066405811
2021-01-25,48241,48241,48132,48177,210,-0.001243858448908508
2021-01-26,48156,48186,48072,48162,491,-0.000311351889905942
2021-01-27,48077,48151,48077,48077,140,-0.001764876873883936
2021-01-28,47982,48097,47957,48087,378,0.00020799966720064234
2021-01-29,48062,48092,48002,48003,166,-0.001746833863622177
2021-02-01,48012,48057,47818,47819,804,-0.0038330937649729835
2021-02-02,47793,48057,47749,48023,157,0.004266086701938621
2021-02-03,47813,47898,47813,47863,207,-0.003331736876080238
2021-02-04,47818,47818,47729,47759,634,-0.002172868395211358
2021-02-05,47908,48017,47754,47804,239,0.000942230783726572
2021-02-08,47754,47754,47515,47515,359,-0.006045519203413896
2021-02-09,47564,47624,47540,47590,974,0.0015784489108703337
2021-02-10,47589,47589,47455,47456,305,-0.0028157175877284724
2021-02-15,47351,47435,47296,47296,842,-0.003371544167228624
2021-02-16,47316,47400,47316,47366,124,0.0014800405953991902
2021-02-17,47112,47256,47112,47257,79,-0.002301228729468363
2021-02-18,47425,47470,47425,47436,379,0.0037877986330068225
2021-02-19,47326,47415,47236,47306,378,-0.002740534615060297
2021-02-22,47167,47181,46923,47018,421,-0.006088022660973191
2021-02-23,47102,47152,47017,47028,127,0.00021268450380707016
2021-02-24,47206,47475,47097,47475,296,0.009504975759122125
2021-02-25,47316,47356,47201,47227,217,-0.005223802001053213
2021-02-26,46510,46878,46510,46709,229,-0.010968302030618049
2021-03-02,46992,47062,46803,46804,2498,0.0020338692757284615
2021-03-03,46843,46958,46813,46839,679,0.0007477993333901978
2021-03-04,46545,46629,46510,46630,47,-0.004462093554516544
2021-03-05,46341,46590,46311,46590,349,-0.0008578168561012012
2021-03-08,46445,46600,46360,46360,53,-0.004936681691350087
2021-03-09,46070,46280,46070,46235,322,-0.002696289905090632
2021-03-10,46580,46900,46400,46400,207,0.003568724991889205
2021-03-11,46540,46675,46455,46535,153,0.002909482758620685
2021-03-12,46425,46425,46040,46040,224,-0.01063715482969807
2021-03-15,45860,45880,45560,45745,371,-0.006407471763683725
2021-03-16,45990,46225,45930,46215,81,0.010274346923160982
2021-03-17,45865,45895,45835,45845,189,-0.008006058638970082
2021-03-18,45940,46050,45570,45650,16,-0.0042534627549351
2021-03-19,45720,46245,45715,46150,109,0.010952902519167473
2021-03-22,46480,46660,46480,46660,31,0.011050920910075757
2021-03-23,46580,46755,46525,46710,162,0.0010715816545221468
2021-03-24,46995,47250,46990,47165,66,0.009740954827660131
2021-03-25,46925,46925,46825,46865,107,-0.0063606487861761485
2021-03-26,46880,46880,46720,46720,165,-0.0030939933852555113
2021-03-29,46725,46970,46725,46970,36,0.005351027397260344
