Date,Open,High,Low,Close,Volume,Change
2021-04-05,2030,2030,2020,2030,1455585,
2021-04-06,2025,2035,2025,2035,177666,0.0024630541871921707
2021-04-07,2035,2040,2035,2035,81440,0.0
2021-04-08,2035,2040,2030,2035,80518,0.0
2021-04-09,2035,2040,2035,2035,43726,0.0
2021-04-12,2035,2070,2035,2045,280255,0.004914004914004844
2021-04-13,2040,2055,2040,2055,33425,0.004889975550122161
2021-04-14,2050,2060,2050,2055,16083,0.0
2021-04-15,2050,2060,2050,2055,23169,0.0
2021-04-16,2055,2065,2055,2055,29879,0.0
2021-04-19,2055,2060,2050,2060,10726,0.0024330900243310083
2021-04-20,2050,2060,2045,2055,15931,-0.0024271844660194164
2021-04-21,2055,2060,2050,2050,19415,-0.0024330900243308973
2021-04-22,2050,2055,2050,2055,18314,0.0024390243902439046
2021-04-23,2045,2055,2045,2050,29424,-0.0024330900243308973
2021-04-26,2060,2070,2050,2055,66769,0.0024390243902439046
2021-04-27,2055,2060,2045,2060,91170,0.0024330900243310083
2021-04-28,2060,2065,2055,2055,12398,-0.0024271844660194164
2021-04-29,2055,2070,2055,2070,71298,0.007299270072992803
2021-04-30,2060,2090,2060,2085,16628,0.007246376811594235
2021-05-03,2080,2145,2080,2095,39780,0.004796163069544335
2021-05-04,2135,2135,2085,2100,7546,0.0023866348448686736
2021-05-06,2105,2105,2075,2095,17457,-0.0023809523809523725
2021-05-07,2080,2090,2080,2080,52273,-0.007159904534606243
