Date,Open,High,Low,Close,Volume,Change
2009-07-31,74355,74355,74199,74220,20024,
2009-08-03,73999,74033,73925,73946,4512,-0.0036917272972244453
2009-08-04,73779,73818,73779,73837,2000,-0.0014740486300813815
2009-08-05,73852,73917,73852,73894,3669,0.0007719706922004743
2009-08-06,73670,73809,73670,73797,3900,-0.0013126911521910145
2009-08-07,73761,73825,73703,73797,194015,0.0
2009-08-10,73745,73748,73696,73743,12660,-0.0007317370624821962
2009-08-11,73728,73970,62664,73849,24009,0.0014374245691115561
2009-08-12,73886,73886,73764,73785,6214,-0.0008666332651762199
2009-08-13,73748,73798,73665,73753,30776,-0.0004336924849224211
2009-08-14,73686,73699,73621,73639,4295,-0.0015456998359388852
2009-08-17,73565,73764,73565,73785,7548,0.001982645065794042
2009-08-18,73911,73911,73745,73763,5248,-0.00029816358338419224
2009-08-19,73733,73976,73733,74001,2243,0.0032265498962895656
2009-08-20,74033,74033,73938,73960,2703,-0.0005540465669382488
2009-08-21,73963,74013,73938,74032,2009,0.0009734991887506705
2009-08-24,73864,73894,73849,73898,442,-0.001810028095958538
2009-08-25,73960,73960,73235,73952,13000,0.0007307369617581827
2009-08-26,74048,74048,73963,74069,301,0.0015821073128516883
2009-08-27,74021,74119,74021,74125,5421,0.0007560517895475183
2009-08-28,74025,74025,73912,74011,166,-0.0015379426644182015
2009-08-31,74025,74025,73941,73963,200,-0.0006485522422342571
2009-09-01,73882,73961,73882,73982,350,0.00025688519935651577
2009-09-02,73960,74073,73960,74097,4000,0.0015544321591738353
2009-09-03,74079,74226,74079,74159,5632,0.0008367410286516108
2009-09-04,74155,74155,74155,74176,2000,0.00022923717957357148
2009-09-07,74105,74155,74096,74176,326,0.0
2009-09-08,74129,74129,74078,74099,20001,-0.0010380716134599233
2009-09-09,74161,74236,74161,74258,1010,0.002145777945721239
2009-09-10,74300,74300,73854,73914,10135,-0.004632497508685884
2009-09-11,73847,73998,73847,74021,1012,0.0014476283248099353
2009-09-14,73969,73969,73933,73954,120,-0.0009051485389280911
2009-09-15,73953,73953,73953,73972,61,0.00024339454255351
2009-09-16,73985,74127,73978,74143,66210,0.002311685502622618
2009-09-17,74178,74275,74135,74264,93442,0.0016319814412688594
2009-09-18,74236,74301,74236,74323,1000,0.0007944629968759109
2009-09-21,74297,74297,74170,74229,2421,-0.0012647498082692943
2009-09-22,74150,74150,74078,74099,111,-0.0017513370785002813
2009-09-23,73978,74150,73978,74168,2052,0.0009311866556902526
2009-09-24,74169,74267,74169,74254,11211,0.0011595297163196072
2009-09-25,74193,74309,74193,74273,2144,0.0002558784711934603
2009-09-28,74251,74274,74251,74300,1022,0.00036352375695081207
2009-09-29,74060,74210,74043,74224,841,-0.001022880215343247
2009-09-30,74092,74389,74092,74407,6230,0.002465509808148303
2009-10-01,74389,74442,74389,74458,1420,0.0006854193825849286
2009-10-05,74441,74503,74441,74527,2015,0.0009266969298127314
2009-10-06,74483,74494,74345,74367,281,-0.002146872945375522
2009-10-07,74129,74318,74129,74307,460,-0.0008068094719432262
2009-10-08,74206,74281,74206,74287,2221,-0.0002691536463590438
2009-10-09,74269,74497,74202,74442,9750,0.002086502348997765
2009-10-12,74464,74464,74442,74458,315,0.00021493243061709855
2009-10-13,74442,74477,74442,74497,1245,0.0005237852211985583
2009-10-14,74457,74491,74457,74512,1020,0.00020135038994850696
2009-10-15,74408,74442,74321,74430,525,-0.0011004938801804087
2009-10-16,74345,74345,74166,74188,446,-0.0032513771328764873
2009-10-19,74083,74210,74083,74180,1400,-0.00010783415107562533
2009-10-20,74161,74210,74161,74232,1015,0.0007009975734699747
2009-10-21,74212,74212,74212,74236,200,5.3885116930718624e-05
2009-10-22,74066,74217,74066,74229,610,-9.429387359227714e-05
2009-10-23,74059,74129,74059,74132,220,-0.0013067668970349056
2009-10-26,74006,74020,73984,74042,251,-0.0012140506124210804
2009-10-27,74025,74197,74025,74218,3190,0.0023770292536668958
2009-10-28,74210,74274,74205,74300,4030,0.0011048532700961289
2009-10-29,74278,74415,74278,74420,7110,0.0016150740242260042
2009-10-30,74274,74377,74274,74398,101,-0.0002956194571351878
2009-11-02,74464,74471,74464,74490,1150,0.0012365923815156332
2009-11-03,74474,74499,74471,74519,1051,0.0003893140018793595
2009-11-04,74457,74457,74394,74410,301,-0.001462714207114968
2009-11-05,74397,74482,74397,74442,1756,0.0004300497244993373
2009-11-06,74442,74442,74433,74458,501,0.00021493243061709855
2009-11-09,74341,74457,74341,74472,253,0.0001880254640200807
2009-11-10,74442,74487,74442,74508,400,0.00048340315823391933
2009-11-11,74541,74566,74541,74581,260,0.0009797605626240546
2009-11-12,74630,74810,74605,74829,1380,0.0033252436947748265
2009-11-13,74825,74927,74825,74944,1150,0.001536837322428486
2009-11-16,74910,74910,74815,74835,130,-0.00145441929974377
2009-11-17,74826,74990,74206,75011,4175,0.0023518407162423927
2009-11-18,74978,74978,74978,75000,100,-0.00014664515871010142
2009-11-19,74945,75008,74945,75027,250,0.00035999999999991594
2009-11-20,75008,75008,75008,75027,400,0.0
2009-11-23,75044,75044,74879,74996,1040,-0.00041318458688210935
2009-11-24,74962,74990,74932,75011,331,0.0002000106672355173
2009-11-25,74993,75097,74993,75115,2150,0.0013864633187132824
2009-11-26,75097,75151,75097,75172,1040,0.0007588364507755685
2009-11-27,75260,75514,75260,75536,6120,0.004842228489331024
2009-11-30,75433,75521,75371,75475,1470,-0.0008075619572124326
2009-12-01,75446,75540,75446,75562,4110,0.0011526995693937891
2009-12-02,75394,75446,75394,75464,200,-0.0012969482014769662
2009-12-03,75423,75423,75404,75425,120,-0.0005168027138767739
2009-12-04,75364,75364,75344,75362,200,-0.0008352668213457148
2009-12-07,75169,75195,75169,75222,220,-0.0018577001671929994
2009-12-08,74214,75320,74197,75341,1281,0.0015819839940443003
2009-12-09,75437,75477,75428,75460,3050,0.0015794852736226161
2009-12-10,75379,75379,75055,75188,309,-0.003604558706599481
2009-12-11,75123,75188,75123,75206,2693,0.0002393999042400452
2009-12-14,75204,75262,75204,75272,5002,0.000877589554024949
2009-12-15,75254,75379,75254,75374,9310,0.0013550855563821962
2009-12-16,75357,75371,75224,75272,1160,-0.0013532517844349057
2009-12-17,75189,75312,75189,75334,1420,0.000823679455840054
2009-12-18,75387,75428,75364,75420,1822,0.00114158281785115
2009-12-21,75357,75401,75357,75420,201,0.0
2009-12-22,75136,75160,75136,75178,102,-0.003208697958101303
2009-12-23,75172,75262,75164,75285,1520,0.0014232887280853923
2009-12-24,75174,75174,75174,75197,1,-0.0011688915454606263
2009-12-28,75103,75113,75099,75134,220,-0.0008377993802943795
2009-12-29,75116,75147,75116,75152,2330,0.00023957196475632436
2009-12-30,75127,75127,75127,75147,2000,-6.65318288268768e-05
2010-01-04,74991,74991,74940,74977,200,-0.0022622326905931134
2010-01-05,75042,75141,75001,75161,4800,0.002454085919681992
2010-01-06,75177,75199,75118,75139,1660,-0.0002927049932810455
2010-01-07,75132,75298,75132,75318,8758,0.002382251560441251
2010-01-08,75325,75395,75270,75292,4691,-0.00034520300592155717
2010-01-11,75275,75439,75275,75448,10308,0.002071933273123383
2010-01-12,75433,75491,75433,75503,5290,0.0007289788993745105
2010-01-13,75519,75560,75482,75582,6889,0.0010463160404221572
2010-01-14,75537,75565,75491,75586,4401,5.292265354195358e-05
2010-01-15,75344,75646,75344,75610,2958,0.00031751911729682725
2010-01-18,75588,75588,75500,75527,1110,-0.0010977383943923114
2010-01-19,75510,75544,75510,75544,1800,0.00022508506891583124
2010-01-20,75544,75544,75491,75560,3601,0.00021179709837970684
2010-01-21,75570,75623,75569,75644,11588,0.0011116993118052143
2010-01-22,75634,75680,75634,75664,21018,0.0002643963830575302
2010-01-25,75649,75656,75649,75675,610,0.00014537957284832537
2010-01-26,75671,75716,75671,75738,3391,0.0008325074331021476
2010-01-27,75698,75707,75698,75730,1200,-0.00010562729409280269
2010-01-28,75587,75625,75564,75647,20250,-0.0010959989436154505
2010-01-29,75646,75719,75634,75741,11870,0.0012426137189842645
2010-02-01,75699,75699,75681,75712,700,-0.0003828837749699776
2010-02-02,75622,75729,75622,75751,1101,0.0005151098901099438
2010-02-03,75736,75797,75736,75800,6038,0.0006468561471135725
2010-02-04,75791,75823,75791,75840,8655,0.0005277044854881119
2010-02-05,75939,75939,75871,75936,5621,0.0012658227848101333
2010-02-08,75859,75866,75859,75888,600,-0.0006321112515802474
2010-02-09,75814,75871,75814,75891,1100,3.95319418089457e-05
2010-02-10,75833,75856,75833,75874,1100,-0.00022400548154588584
2010-02-11,75871,76025,75871,76051,7635,0.00233281493001547
2010-02-12,76029,76164,76029,76185,7774,0.001761975516429759
2010-02-16,76150,76167,76150,76187,2100,2.6251886854344875e-05
2010-02-17,76127,76139,76127,76159,1600,-0.00036751676795254706
2010-02-18,76142,76180,76142,76200,1500,0.0005383474047715442
2010-02-19,76025,76121,76025,76073,3061,-0.0016666666666667052
2010-02-22,76008,76023,76008,76048,1700,-0.0003286317090163138
2010-02-23,76025,76073,76025,76061,10267,0.00017094466652634033
2010-02-24,76113,76226,76113,76243,10216,0.0023928162921864615
2010-02-25,76235,76387,76235,76405,13345,0.0021247852261847555
2010-02-26,76330,76336,76330,76356,310,-0.0006413192853871319
2010-03-02,76337,76360,76337,76376,1900,0.00026193095500026686
2010-03-03,76361,76433,76361,76454,3000,0.0010212632240493846
2010-03-04,76433,76518,76433,76535,8899,0.0010594605906819599
2010-03-05,76522,76541,76522,76562,3291,0.00035277977395953286
2010-03-08,76428,76455,76428,76475,101,-0.0011363339515686466
2010-03-09,76468,76522,76468,76540,2100,0.000849950964367352
2010-03-10,76541,76607,76530,76618,8590,0.0010190749934675392
2010-03-11,76602,76865,76594,76885,9882,0.0034848207992899116
2010-03-12,76869,76984,76869,76919,4125,0.00044221889835460715
2010-03-15,76915,76935,76898,76958,8147,0.000507026872424321
2010-03-16,76945,77079,76945,77098,13197,0.001819174094960907
2010-03-17,77140,77228,77140,77241,9335,0.001854782225219953
2010-03-18,77259,77259,77259,77284,30,0.0005566991623620066
2010-03-19,77264,77344,77264,77337,7843,0.0006857823094041926
2010-03-22,77253,77355,77253,77374,2010,0.0004784255918899305
2010-03-23,77365,77374,77208,77272,4089,-0.001318272287848643
2010-03-24,77144,77144,76914,77011,1990,-0.0033776788487420717
2010-03-25,76838,77064,76838,77086,4510,0.0009738868473334605
2010-03-26,77152,77233,77152,77256,12251,0.002205329112938692
2010-03-29,77098,77170,77098,77186,61,-0.0009060784922854115
2010-03-30,77057,77057,76988,77047,50,-0.0018008447127717542
2010-03-31,77064,77101,77064,77098,10250,0.0006619336249302776
2010-04-01,77130,77215,77128,77232,1945,0.0017380476795767485
2010-04-02,77215,77232,77215,77252,3002,0.0002589600165734396
2010-04-05,77225,77225,77140,77245,507,-9.061254077569192e-05
2010-04-06,77140,77251,77140,77272,1715,0.0003495371868729169
2010-04-07,77253,77368,77253,77383,1830,0.0014364841080858337
2010-04-08,77435,77513,77435,77527,1800,0.0018608738353385057
2010-04-09,77513,77513,77434,77459,21,-0.0008771137797154438
2010-04-12,77332,77332,77332,77351,30,-0.0013942860093727472
2010-04-13,77306,77306,77272,77293,35,-0.0007498287029256145
2010-04-14,77209,77255,77140,77281,730,-0.00015525338646449338
2010-04-15,77147,77254,77147,77263,731,-0.0002329162407318508
2010-04-16,77323,77323,77323,77345,1520,0.001061310070797239
2010-04-19,77477,77477,77365,77459,75,0.00147391557308163
2010-04-20,77450,77450,77450,77473,1704,0.00018074077899266072
2010-04-21,77374,77455,77374,77459,347,-0.00018070811766679462
2010-04-22,77435,77513,77435,77527,1800,0.0008778837836791453
2010-04-23,77535,77535,77535,77550,1700,0.0002966708372567073
2010-04-26,77513,77553,77513,77577,1813,0.00034816247582214466
2010-04-27,77570,77660,77570,77680,2300,0.001327713110844675
2010-04-28,77677,77830,77677,77848,3201,0.002162718846549838
2010-04-29,77867,77867,77867,77889,3600,0.0005266673517623222
2010-04-30,77812,77839,77812,77864,600,-0.000320969584922115
2010-05-03,77808,77808,77725,77743,1060,-0.0015539915750539812
2010-05-04,77613,77713,77593,77730,684,-0.00016721762731053413
2010-05-06,77776,77814,77660,77680,2068,-0.000643252283545559
2010-05-07,77510,77677,77510,77695,575,0.00019309989701343788
2010-05-10,77694,77694,77694,77708,20,0.00016732093442306528
2010-05-11,77698,77812,77698,77828,6090,0.0015442425490297396
2010-05-12,77737,77737,77660,77680,30,-0.001901629233694857
2010-05-13,77559,77576,77444,77468,140,-0.0027291452111225523
2010-05-14,77494,77553,77494,77577,520,0.0014070325811947892
2010-05-17,77516,77516,77435,77527,91,-0.000644520927594483
2010-05-18,77482,77548,77482,77569,102,0.0005417467462949244
2010-05-19,77587,77587,77587,77606,10,0.00047699467570816445
2010-05-20,77589,77660,77589,77680,6100,0.000953534520526711
2010-05-24,77737,77737,77737,77753,101,0.0009397528321317683
2010-05-25,77821,77885,77821,77903,150,0.001929186012115336
2010-05-26,77885,77885,77885,77903,54,0.0
2010-05-27,77812,77885,77812,77840,60,-0.000808697996226071
2010-05-28,77909,77909,77900,77919,30,0.001014902363823289
2010-05-31,77918,77957,77918,77977,3080,0.0007443627356613636
2010-06-01,77974,77979,77974,77995,3013,0.000230837298177633
2010-06-03,77997,78032,77997,78054,6050,0.0007564587473556372
2010-06-04,77959,77959,77942,77964,30,-0.0011530478899223207
2010-06-07,77997,78070,77992,78084,19937,0.0015391719255040126
2010-06-08,78089,78089,78089,78109,100,0.0003201680241791127
2010-06-09,0,0,0,78091,0,-0.00023044719558562576
2010-06-10,78089,78089,77931,78109,15,0.00023050031373661461
2010-06-11,77931,77931,77931,77955,50,-0.001971603784455045
2010-06-14,78015,78015,78015,78032,10,0.0009877493425693995
2010-06-15,77996,77996,77996,78013,10,-0.0002434898503178573
2010-06-16,77931,77931,77931,77955,10,-0.0007434658326176402
2010-06-17,77976,77976,77976,77993,10,0.0004874607145148868
2010-06-18,77965,77965,77965,77983,10,-0.00012821663482620593
2010-06-21,77830,77830,77830,77849,10,-0.0017183232242924396
2010-06-22,77695,77695,77695,77710,10,-0.0017855078421046278
2010-06-23,77662,77662,77662,77682,1,-0.0003603139879037043
2010-06-24,77724,77724,77724,77742,3,0.0007723797018615031
2010-06-25,77729,77729,77729,77745,10,3.858917959398411e-05
2010-06-28,0,0,0,77745,0,0.0
2010-06-29,77728,77804,77728,77821,4001,0.0009775548266770517
2010-06-30,77861,77869,77861,77890,4500,0.0008866501329976018
2010-07-01,77936,78012,77936,78027,10000,0.0017588907433561118
2010-07-02,77920,78015,77920,78032,140,6.408038243166381e-05
2010-07-05,78014,78030,78014,78050,20,0.00023067459503800514
2010-07-06,78052,78052,78052,78070,10,0.0002562459961563679
2010-07-07,77948,77948,77948,77970,10,-0.0012809017548354173
2010-07-08,77848,77848,77848,77873,10,-0.0012440682313710205
2010-07-09,77832,77832,77832,77853,10,-0.0002568284257701281
2010-07-12,77776,77830,77776,77849,2,-5.1378880711050456e-05
2010-07-13,77826,77826,77826,77845,10,-5.138152063610679e-05
2010-07-14,0,0,0,77845,0,0.0
2010-07-15,77830,77869,77830,77890,30,0.0005780718093648662
2010-07-16,77899,77961,77896,77966,7496,0.0009757350109127483
2010-07-19,77956,77976,77956,77993,4511,0.00034630479952801885
2010-07-20,0,0,0,77997,0,5.1286653930393555e-05
2010-07-21,78063,78063,78063,78079,2000,0.0010513224867623183
2010-07-22,78104,78125,78104,78126,11248,0.0006019544307689362
2010-07-23,78182,78182,78104,78197,3,0.0009087883675089614
2010-07-26,0,0,0,78197,0,0.0
2010-07-27,78196,78196,78196,78213,1,0.00020461143010597205
2010-07-28,78247,78247,78247,78269,10,0.0007159935049161348
2010-07-29,78312,78312,78312,78336,10,0.0008560221799178702
2010-07-30,78321,78321,78321,78344,10,0.0001021241830065911
2010-08-02,0,0,0,78316,0,-0.00035739814152968563
2010-08-03,78243,78243,78243,78264,30,-0.0006639767097400551
2010-08-04,78253,78312,78253,78336,2001,0.0009199632014720294
2010-08-05,0,0,0,78284,0,-0.0006638071895425091
2010-08-06,78202,78202,78202,78222,2,-0.000791988145725786
2010-08-09,78185,78232,78185,78255,7,0.00042187619851197233
2010-08-10,0,0,0,78210,0,-0.0005750431282346424
2010-08-11,78238,78353,78238,78371,4000,0.002058560286408495
2010-08-12,78467,78467,78467,78485,2000,0.0014546196935090183
2010-08-13,78543,78543,78543,78561,1,0.0009683378989615576
2010-08-16,78558,78558,78558,78577,30,0.0002036633953232947
2010-08-17,78580,78588,78580,78608,4100,0.00039451747966956496
2010-08-18,78538,78538,78538,78557,100,-0.000648788927335664
2010-08-19,78699,78784,78699,78801,4100,0.003106024924577122
2010-08-20,78808,78889,78808,78910,4001,0.0013832311772692396
2010-08-23,78917,79010,78900,78920,2121,0.00012672665061463917
2010-08-24,78933,78957,78933,78976,4000,0.0007095793208311552
2010-08-25,79114,79144,79114,79165,2107,0.0023931320907617515
2010-08-26,0,0,0,79204,0,0.0004926419503568091
2010-08-27,79180,79187,79180,79209,101,6.312812484221553e-05
2010-08-30,79021,79114,79021,79136,103,-0.0009216124430304617
2010-08-31,79225,79273,79225,79287,2100,0.0019081075616660392
2010-09-01,79167,79167,79059,79089,150,-0.0024972568012410212
2010-09-02,79159,79159,79130,79150,2010,0.000771282984991517
2010-09-03,79111,79139,79050,79089,290,-0.0007706885660139218
2010-09-06,79045,79061,79007,79027,910,-0.0007839269683520556
2010-09-07,79032,79074,79032,79093,10,0.0008351576043630349
2010-09-08,79222,79229,79222,79251,13,0.0019976483380323984
2010-09-09,79262,79713,79262,79644,10007,0.004958927963054194
2010-09-10,79620,79620,79577,79593,10,-0.0006403495555220573
2010-09-13,79497,79584,79497,79567,20,-0.0003266618923775111
2010-09-14,79615,79615,79615,79633,5,0.0008294896125278228
2010-09-15,79700,79715,79625,79644,2010,0.00013813368829507233
2010-09-16,79633,79663,79633,79680,10,0.00045201145095674633
2010-09-17,0,0,0,79680,0,0.0
2010-09-20,79637,79637,79516,79534,10,-0.0018323293172690658
2010-09-24,79648,79688,79648,79706,30,0.002162597128272159
2010-09-27,79710,79819,79710,79838,20,0.0016560861164780505
2010-09-28,79838,79842,79767,79861,29,0.000288083368821912
2010-09-29,79885,79989,79885,80010,25,0.0018657417262493148
