Date,Open,High,Low,Close,Volume,Change
2021-01-27,23000,29900,23000,29900,1986846,
2021-01-28,34450,38850,32500,32500,6941293,0.08695652173913038
2021-01-29,31350,31850,25500,27050,1970619,-0.1676923076923077
2021-02-01,26250,28000,24850,26700,1071227,-0.012939001848428888
2021-02-02,26700,26750,24100,24600,798995,-0.0786516853932584
2021-02-03,24150,24400,23300,23800,372576,-0.03252032520325199
2021-02-04,23450,23700,21800,22100,454918,-0.0714285714285714
2021-02-05,23500,25650,22550,23050,1656179,0.042986425339366585
2021-02-08,23550,29000,23000,26150,3803821,0.13449023861171372
2021-02-09,26900,30050,25450,26150,2982519,0.0
2021-02-10,26350,28950,26250,26400,1423971,0.009560229445506607
2021-02-15,26550,26800,24850,25350,605825,-0.03977272727272729
2021-02-16,25650,26800,24450,24500,738476,-0.0335305719921104
2021-02-17,24900,24900,23250,23550,244201,-0.038775510204081653
2021-02-18,23550,23550,22800,22850,181812,-0.02972399150743099
2021-02-19,22600,25350,22600,23900,660373,0.045951859956236296
2021-02-22,23900,24450,22900,22900,153894,-0.04184100418410042
2021-02-23,22800,24050,22700,23050,261248,0.0065502183406114245
2021-02-24,22800,23050,22100,22100,157642,-0.041214750542299394
2021-02-25,22250,22500,21950,22000,82911,-0.004524886877828038
2021-02-26,21100,21550,20150,20450,115166,-0.07045454545454544
2021-03-02,20400,20600,19000,19000,298158,-0.07090464547677267
2021-03-03,18950,23100,18500,20450,1066900,0.07631578947368411
2021-03-04,20450,21650,20050,20950,349114,0.02444987775061125
2021-03-05,20550,20950,19900,20300,100100,-0.031026252983293534
2021-03-08,20600,21400,19950,19950,193374,-0.017241379310344862
2021-03-09,19950,20800,19050,20250,120474,0.015037593984962516
2021-03-10,20250,22400,20050,21950,509458,0.08395061728395059
2021-03-11,21850,22200,21200,22150,158062,0.009111617312072884
2021-03-12,22300,22450,21550,21550,119965,-0.02708803611738153
2021-03-15,21600,21800,20850,20850,72472,-0.0324825986078886
2021-03-16,21000,22300,21000,21400,258765,0.026378896882494063
2021-03-17,21550,21700,20850,21050,67903,-0.016355140186915862
2021-03-18,21200,21550,20900,21100,47888,0.002375296912114022
2021-03-19,20500,21050,20450,20850,39113,-0.011848341232227444
2021-03-22,20950,21000,20200,20450,84481,-0.01918465227817745
2021-03-23,20500,20550,19800,20100,80008,-0.017114914425427896
2021-03-24,20050,20700,19650,20500,52202,0.01990049751243772
2021-03-25,20500,20650,20000,20250,33956,-0.012195121951219523
2021-03-26,20300,21450,20250,20800,170020,0.02716049382716057
2021-03-29,21150,21200,20150,20350,55835,-0.02163461538461542
2021-03-30,20350,21250,19950,21150,83471,0.039312039312039415
2021-03-31,21000,21450,20650,20750,38170,-0.01891252955082745
2021-04-01,20850,21000,20100,20200,48331,-0.026506024096385583
2021-04-02,20300,20350,19900,20200,52508,0.0
2021-04-05,20400,20400,19900,20200,43420,0.0
2021-04-06,20300,20600,19900,20350,54258,0.007425742574257432
2021-04-07,20300,20600,20000,20100,43373,-0.012285012285012331
2021-04-08,19950,20300,19950,20100,31191,0.0
2021-04-09,20100,20800,20000,20600,69344,0.02487562189054726
2021-04-12,20950,21000,20350,20450,41471,-0.007281553398058249
2021-04-13,20450,21600,20450,21000,202322,0.02689486552567244
2021-04-14,21100,21450,20800,21050,48013,0.0023809523809523725
2021-04-15,21000,22050,20750,21600,218896,0.026128266033254244
2021-04-16,21600,21600,20950,21200,53922,-0.01851851851851849
2021-04-19,21500,21550,21200,21250,38238,0.002358490566037652
2021-04-20,21150,21250,20750,21000,86194,-0.0117647058823529
2021-04-21,21000,21100,20650,20800,44373,-0.00952380952380949
2021-04-22,21000,21050,20700,20850,38975,0.0024038461538462563
2021-04-23,20700,20850,20200,20300,65643,-0.026378896882493952
2021-04-26,20400,20600,20250,20450,33882,0.00738916256157629
2021-04-27,20100,20200,19500,19700,221050,-0.03667481662591687
2021-04-28,19800,19900,19200,19400,63749,-0.015228426395939132
2021-04-29,19350,19600,19050,19300,38208,-0.005154639175257714
2021-04-30,19150,19600,18900,19050,54368,-0.012953367875647714
2021-05-03,19200,19900,19050,19550,65999,0.026246719160105014
2021-05-04,19550,19650,18600,19200,44758,-0.01790281329923271
2021-05-06,18950,19400,18900,19400,29230,0.01041666666666674
2021-05-07,19250,19550,19250,19450,19820,0.002577319587628857
