Date,Open,High,Low,Close,Volume,Change
2020-08-21,10010,10195,10010,10140,27727,
2020-08-24,10110,10110,9875,9875,1849,-0.02613412228796841
2020-08-25,9880,9880,9815,9840,3285,-0.0035443037974683955
2020-08-26,9810,9830,9745,9810,4597,-0.0030487804878048808
2020-08-27,9815,9840,9780,9780,202,-0.003058103975535187
2020-08-28,9765,9765,9675,9680,7035,-0.010224948875255602
2020-08-31,9690,9690,9515,9515,208,-0.017045454545454586
2020-09-01,9545,9575,9545,9575,12,0.006305832895428187
2020-09-02,9415,9415,9355,9355,501,-0.02297650130548301
2020-09-03,9470,9535,9455,9490,5734,0.014430785676109004
2020-09-04,9625,9625,9545,9545,30081,0.005795574288725014
2020-09-07,9465,9470,9420,9445,1251,-0.010476689366160308
2020-09-08,9435,9515,9395,9510,23005,0.006881948120698755
2020-09-09,9525,9575,9500,9575,1211,0.006834910620399537
2020-09-10,9540,9610,9525,9525,10865,-0.005221932114882533
2020-09-11,9535,9570,9520,9570,3,0.0047244094488188
2020-09-14,9560,9570,9560,9570,2,0.0
2020-09-15,9570,9570,9530,9530,205,-0.004179728317659337
2020-09-16,9530,9565,9470,9565,9,0.003672612801678854
2020-09-17,9525,9600,9515,9540,27837,-0.002613695765812829
2020-09-18,9550,9550,9490,9490,2534,-0.00524109014675056
2020-09-21,9490,9720,9450,9635,1628,0.015279241306638491
2020-09-22,9615,9780,9615,9775,2711,0.014530358069538174
2020-09-23,9725,9800,9700,9770,2345,-0.000511508951406614
2020-09-24,9885,10065,9865,10065,3062,0.0301944728761514
2020-09-25,10070,10070,10015,10035,2847,-0.0029806259314456574
2020-09-28,9975,10005,9855,9855,3718,-0.017937219730941756
2020-09-29,9850,9850,9795,9795,2351,-0.0060882800608828
2020-10-05,9800,9800,9715,9790,36001,-0.0005104645227156368
2020-10-06,9815,9815,9815,9815,0,0.0025536261491316825
2020-10-07,9810,9875,9810,9855,266,0.004075394803871646
2020-10-08,9885,9930,9870,9930,1291,0.007610350076103556
2020-10-12,9870,9930,9865,9905,32359,-0.0025176233635447742
2020-10-13,9905,10000,9865,9955,3076,0.005047955577990981
2020-10-14,10030,10030,10015,10015,3469,0.006027122049221401
2020-10-15,10115,10290,10115,10280,57321,0.026460309535696558
2020-10-16,10215,10370,10210,10270,23454,-0.0009727626459143934
2020-10-19,10265,10425,10260,10385,6925,0.011197663096397248
2020-10-20,10565,10575,10355,10355,2019,-0.00288878189696673
2020-10-21,10410,10465,10300,10300,9652,-0.005311443746982114
2020-10-22,10415,10555,10390,10555,9137,0.02475728155339807
2020-10-23,10565,10675,10565,10625,139,0.006631927996210374
2020-10-26,10855,11065,10855,11005,4456,0.03576470588235292
2020-10-27,11005,11050,10685,10855,5249,-0.013630168105406626
2020-10-28,10660,10700,10510,10510,46470,-0.031782588668816225
2020-10-29,10510,10510,10180,10205,4852,-0.02901998097050429
2020-10-30,10215,10315,10155,10315,833,0.010779029887310054
2020-11-02,10315,10345,10185,10270,514,-0.004362578768783321
2020-11-03,10260,10315,10180,10315,2486,0.004381694255112034
2020-11-04,10260,10335,10070,10130,6646,-0.017935046049442516
2020-11-05,10100,10135,10090,10100,3080,-0.0029615004935834577
2020-11-06,10180,10430,10170,10400,3718,0.02970297029702973
2020-11-09,10350,10425,10350,10400,2433,0.0
2020-11-10,10455,10625,10455,10535,14156,0.012980769230769296
2020-11-11,10590,10810,10580,10675,27476,0.013289036544850585
2020-11-12,10620,10740,10540,10690,20678,0.001405152224824402
2020-11-13,10740,10870,10735,10740,26002,0.00467726847521055
2020-11-16,10725,10875,10725,10875,18796,0.012569832402234526
2020-11-17,11000,11060,11000,11000,1285,0.011494252873563315
2020-11-18,11000,11025,10785,10785,1149,-0.019545454545454533
2020-11-19,10805,10805,10655,10670,1070,-0.01066295781177562
2020-11-20,10620,10620,10490,10490,1952,-0.016869728209934376
2020-11-23,10560,10730,10560,10730,1753,0.022878932316491962
2020-11-24,10695,10940,10695,10855,2312,0.011649580615097799
2020-11-25,10915,10915,10750,10820,4317,-0.0032243205895901017
2020-11-26,10865,10865,10720,10720,271,-0.009242144177449174
2020-11-27,10715,10715,10570,10580,2584,-0.013059701492537323
2020-11-30,10605,10605,10480,10495,7114,-0.008034026465028377
2020-12-01,10470,10605,10455,10560,1960,0.006193425440686129
2020-12-02,10590,10750,10590,10600,2047,0.0037878787878788955
2020-12-03,10645,10650,10500,10505,2011,-0.008962264150943366
2020-12-04,10550,10630,10495,10495,1076,-0.0009519276534983856
2020-12-07,10450,10465,10160,10160,3251,-0.031919961886612724
2020-12-08,10150,10425,10030,10425,8313,0.026082677165354395
2020-12-09,10360,10530,10350,10520,6538,0.009112709832134192
2020-12-10,10535,10535,10350,10350,1051,-0.01615969581749055
2020-12-11,10315,10315,10310,10310,102,-0.0038647342995169476
2020-12-14,10300,10300,10180,10200,2216,-0.01066925315227929
2020-12-15,10280,10280,10235,10240,952,0.0039215686274509665
2020-12-16,10290,10290,10170,10170,1020,-0.0068359375
2020-12-17,10120,10145,10020,10145,493,-0.002458210422812246
2020-12-18,10110,10140,10105,10140,2850,-0.0004928536224740876
2020-12-21,10070,10070,9885,9930,23582,-0.020710059171597628
2020-12-22,9930,10075,9855,10075,824,0.01460221550855989
2020-12-23,10075,10290,9975,10260,26539,0.018362282878412017
2020-12-24,10280,10410,10240,10350,16568,0.00877192982456143
2020-12-28,10360,10400,10330,10340,526,-0.0009661835748792091
2020-12-29,10210,10280,10085,10085,2474,-0.02466150870406192
2020-12-30,10120,10370,10120,10370,2142,0.02825979176995541
2021-01-04,10380,10780,10380,10700,1956,0.03182256509161041
2021-01-05,10700,10850,10650,10800,2399,0.009345794392523255
2021-01-06,10850,10995,10805,10805,1844,0.0004629629629628873
2021-01-07,10950,11140,10935,11025,2002,0.02036094400740396
2021-01-08,11215,11520,11215,11455,10116,0.03900226757369607
2021-01-11,11600,11800,11470,11500,6354,0.003928415539065977
2021-01-12,11425,11495,11265,11435,2283,-0.005652173913043512
2021-01-13,11415,11520,11400,11505,462,0.006121556624398838
2021-01-14,11510,11700,11480,11700,234,0.016949152542372836
2021-01-15,11640,11705,11560,11595,1099,-0.008974358974358942
2021-01-18,11615,11645,11460,11620,694,0.0021561017680034045
2021-01-19,11595,11895,11560,11740,6103,0.010327022375215211
2021-01-20,11895,11900,11420,11550,1136,-0.016183986371379855
2021-01-21,11505,11725,11505,11715,1424,0.014285714285714235
2021-01-22,11760,11855,11700,11700,722,-0.001280409731113985
2021-01-25,11650,11680,11540,11600,815,-0.008547008547008517
2021-01-26,11585,11585,11350,11405,19833,-0.016810344827586254
2021-01-27,11395,11555,11395,11470,18600,0.005699254712845159
2021-01-28,11480,11540,11385,11510,1472,0.0034873583260679464
